Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
[Collectif], Faculté des Sciences pharmacentiques. Philippe Maupas, Tours, Faculté des Sciences pharmacentiques. Philippe Maupas, 1996, 24 p. BBH 33145/121 ;BBH 3315/121;;2011;don Rideau;Tours;biographie;;
"Meudec (Juliette), ""Parc et jardins du 19e siècle en Indre-et-Loire : duparc agricole au jardin de style"", in L'esprit des Jardins. Entre tradition et création. Colloque du 5-6 septembre 2008, Tours, Conseil général d'Indre-et-Loire,  s. d. [2008], 17 p., photocopie, BBH 3314/121";BBH 3314/121;;2011;don Pasquier;Touraine;jardin;;
Mollans (colonel Henri d'Amédor), « L’invasion de la Touraine en juin 1940 » (résumé d’une causerie faite à Amboise […] le 8 décembre 1973, à l’occasion du 30e anniversaire de la création de la médaille de la Résistance, d’après les archives de la Wehrmacht), Le courrier d’Amboise et du district urbain, 38, janvier 1974, p. 28-30 , photocopie, BBH 3313/121;BBH 3313/121;;2011;transfert;Touraine;1940;;
[Collectif], Parçay-Meslay se souvient. 50e anniversaire 1945-1995, Parçay-Meslay, 1995, 36 p. , BBH 3312/121;BBH 3312/121;;2011;don Hyron;Touraine;Parçay-Meslay;;
[Collectif], 1900-1950. La vie quotidienne à Parçay-Meslay, Parçay-Meslay, la Municipalité, 2004, 43 p., BBH 3311/121;BBH 3311/121;;2011;don Hyron;Touraine;Parçay-Meslay;;
"Briais (Bernard), ""Ray Lambert (alias Albert Delagrange). Sur un air d'accordéon"", L'almanach tourangeau, 2009, p. 8-10, BBH 3310/121";BBH 3310/121;;2011;don Pasquier;Touraine;musique 20e;;
"Rougé (Jacques-Marie), ""Bonnets de Touraine"",  in Artisans et paysans de France. Recueil d'études d'art populaire, Paris-Strasbourg, Ed. F.-X. Le Roux et Cie, 1947,  p. 191-195, BBH 3309/121";BBH 3309/121;;2011;Don Le Souëf;Touraine;coiffe;;
[Collectif], Instruments scientifiques…, de la pédagogie au patrimoine, Tours, Conseil général d'Indre-et-Loire, 2010, 75 p. BBH 3308/121;BBH 3308/121;;2011;don Rideau;Tours;lycée Descartes;;
"Thomann (Marcel), ""Une institution carolingienne : la ""Porta"" de Marmoutier"",  extr. des Cahiers alsaciens d'archéologie, d'art et d'histoire, XXXII, 1989, . Mélanges offerts à Robert Will, p. 53-69, photocopioes,  BBH 3307/120";BBH 3307/120;;2011;transfert;Marmoutier;abbaye;;
"Cordier (Gérard), 1979, ""Figures médicales tourangelles. Encore un illustre méconnu : le dicteur René Verneau (1852-1938)"", Le Mutualiste de Touraine, 264, 3e trim. 1979, p. 20-124, BBH 3306/120";BBH 3306/120;;2011;don Rideau;Touraine;médecin;;
[Anonyme], Le docteur Léon Marchand, professeur honoraire à l'école de Pharmacie, s. l., s. n., s. d. [déb. XXe siècle], n. p., 3 ff. BBH 3305/120;BBH 3305/120;;2011;don Rideau;Touraine;médecin;;
"Dubreuil-Chambardel (Louis), ""Léon Marchand 1833"", in Louis Dubreuil-Chambardel, Figures médicales tourangelles, Tours, libr. Péricat, 1907, p. 9-20, photocopie, BBH 3304/120";BBH 3304/120;;2011;don Rideau;Touraine;médecin;;
"[Collectif], ""Les résurgences proto-historiques dans le culte des morts de l'Occident médiéval""; Broëns, ""Normes pour la recherche, l'observation et la description des ensembles archéologiques de caractère anhistorique""; Nollent, ""L'objectivité des témoignages, dans l'archéologie souterraine"", in Chthonia, s. d., BBH 3303/120 ";BBH 3303/120;;2011;transfert;archéologie;souterrains;guerre 19e 20e;
Malnuit (Jean-Paul), Amboise, souvenirs d'archives, conflits des 19e et 20e siècles, exposition : Amboise de l'aube de l'Humanité à l'an 2000, 15 septembre au 290septembre 2001, Amboise, l'auteur, 2001, n. p. tapuscrit, BBH 33302/120 ;BBH 3302/120;;2011;transfert;Touraine;Amboise;;
Gomendy (Charles), Assemblée d'habitants de la paroisse de Martizay aux XVII et XVIIIe siècles, in Cahiers historiques de Martizay, 2, 1954, 60 p. BBH 3301/120;BBH 3301/120;;2011;transfert;Touraine;paroisse;;
"[Anonyme], ""Société archéologique de Touraine. Séance du 25 novembre 1840"", in Le Courrier d'Indre-et-Loire de 1839, 170, mercredi 9 décembre 1840, p. 2, photocopie [la BSAT possède le journal] BBH 3300/120";BBH 3300/120;;2011;transfert;Touraine SAT ;séance inaugurale;;
"Cordier (Gérard), 1982, ""Feu le musée d'histoire naturelle de Tours (in memoriam)"", Le Mutualiste de Touraine, 276, 1982, p. 20-21, photocopie, BBH 3299/120";BBH 3299/120;;2011;don Rideau ;société savante;musée d'histoire naturelle;religion;
"Laurentin (Maurice), ""Le carré symbolique"" [SATOR], extr. du  Bulletin de la Société des sciences, lettres et beaux-arts de Cholet et de sa région, 1960, p. 33-47 BBH 3298/120";BBH 3298/120;;2011;transfert;Histoire;graffiti;;
[Collectif], Actes du Colloque Sigogne, 6-8 mai 1987, in Revue de l'université Dsainte-Anne, 1987, 119 p.  BBH 3297/120;BBH 3297/120;;2011;transfert;Touraine;Canada;Angellier;
Borowczyk (Jacques), Relevé d'archives concernant la famille Angellier 1640-1918, Tours, l'auteur, 2011, 23 p. tapuscrit BBH 3296/120;BBH 3296/120;;2011;don Rideau;Touraine;biographie;Tourlet;
"Rideau (Marc), ""Journée d'étude E.-H. Tourlet. Le botaniste"", extr. du Bulletin de la Société des Amis du Vieux Chinon, XI, 2, 2008, p. 169-178 BBH 3295/120";BBH 3295/120;;2011;don Rideau;Touraine;biographie;Tourlet;
"Rideau (Marc), ""Journée d'étude E.-H. Tourlet. L'étudiant en pharmacie"", extr; du Bulletin de la Société des Amis du Vieux Chinon, XI, 2, 2008, p. 159-168,  BBH 3294/120";BBH 3294/120;;2011;don Rideau;Touraine;biographie;Tourlet;
"Rideau (Marc), ""Centième anniversaire de la mort de 'E.-H. Tourlet. La vie et l'œuvre d'Ernest-Henry Tourlet, pharmacien chinonais (1843-1907)"", Mémoire de l'Académie des sciences, arts et belles-lettres de Touraine, 20, 2007, p. 11-31, BBH 3293/120";BBH 3293/120;;2011;don Rideau;Touraine;biographie;Tourlet;
"Doucet (Marika), Heller (ine, Rideau (Marc), ""L'herbier d'Indre-et-Loire d'Henry-Ernest Tourlet, panorama de la flore tourangelle de la fin du XIXe siècle"", extr. du Journal botanique de la Société botanique de France, 44, 2008, p. 75-80, BBH 3292/120";BBH 3292/120;;2011;don Rideau;Touraine;biographie;Tourlet;
[Collectif], Hommage à Ernest-Henry Tourlet, botaniste, pharmacien érudit, exopsition au château de Tours, du 15 septembre au 4 novembre 2007, Tours, la Ville, 2007, n. p., BBH 3921/120;BBH 3921/120;;2011;don Rideau;Touraine;biographie;;
Porhel et al., Sanitas. Quartier de mémoire. Quartier d'avenir, Tours, Archives municipales de Tours, 2010, 43 p. BBH 3290/120;BBH 3290/120;;2011;don Archives municipales;Tours;quartier du Sanitas;;
[Anonyme], Le site archéologie de Thésée-Pouillé. Les fours de potiers de Tasciaca, Thésée, Les Amis du musée de Thésée-Pouillé, 1998, 17 p. BBH 3289/120;BBH 3289/120;;2011;don Wathier;Loir-et-Cher;GR;;
"Menil (A.), ""Le mobilier traditionnel sarthois au travers de l'enquête du musée des Arts et Traditions populaires"", extr. Bulletin de la Société d'agriculture, sciences et arts de la Sarthe, 575, numéro spécial 1982, p. 79-1402, BBH 3288/120";BBH 3288/120;;2011;transfert;ethnographie;mobilier rural;juifs MA;
[Collectif], La communauté juive à Chinon, Xe-XIVe siècle, Chinon, Guilde Plantagenêt -Prévosté de Chinon, 2009, 79 p. BBH 3287/120;BBH 3287/120;;2011;don AVC;Touraine;Chinon;;
Oury (Dom Guy-Marie), Nouzilly, s. l., l'auteur, tapuscrit, 1962, 46 p. tirage imprimante, BBH 3286/120;BBH 3286/120;;2011;don ;Touraine;Nouzilly;;
[Anonyme], [calendrier républicain illustré, tiré du bulletin municipal de la Ville-aux-Dames, 1989], 1 p. BBH 3285/120;BBH 3285/120;;2011;transfert;Histoire;calendrier républicain;;
Faye (Henri), Les limites de l'ancienne province de Touraine, Tours, impr. Arrault et Cie, 1887, 8 p. photocopie, BBH 3284/120;BBH 3284/120;;2011;don Schweitz ;Touraine;limite province;ligne démarcation;
[Collectif], La Touraine divisée. La ligne de démarcation en Indre-et-Loire. Histoire et témoignages, Tours, Conseil général d'Indre-et-Loire, Archives départementales d'indre-et-Loire,  48 p. BBH 3283/120;BBH 3283/120;;2011;don auteur;Touraine;guerre 39-45;;
Tendron (Graziella), Le pilier d'Yzeures-sur-Creuse (Indre-et-Loire), Centre de documentation des musées de Chauvigny, 26, juillet 2010, 16 p. BBH 3282/120. ;BBH 3282/120;;2010;achat 12.10;Touraine;Yzeures-sur-Creuse;religion;
"Schweitz (Daniel), 2007,  ""Alexandre Danouilh de Salies (1815-1883), un exemple de rédemption sociale par l'érudition et le journalisme"", Revue de Comminges, t. CXXIII-2007-3/4, p 315-347, BBH 3281/120";BBH 3281/120;;2010;don Couderc;Vendômois;société savante;;
"Ginot (Emile), ""La Société des Antiquaires de l'Ouest pendant un siècle"", Bulletin de la Société des Antiquaires de l'Ouest, troisième trimestre 1934, p. 183-208, BBH 3280/119";BBH 3280/119;;2010;transfert;histoire;société savante;marque tâcheron;
"Dubois (M.), ""Marques de tâcherons dans le Sud-Ouest de la France"", Bulletin de la Société des Antiquaires de l'Ouest, troisième trimestre 1934, p. 329-340 BBH 3279/119";BBH 3279/119;;2010;transfert;histoire;architecture;;
"Schweitz (daniel), 2010, ""Pierre Leveel et la Société archéologique de Touraine"", in [Collectif], Mélanges offerts à Pierre Leveel, MSAT, LVII, 2010, p. 175-180, BBH3277/119";BBH 3278/119;;2010;don Schweitz ;Touraine SAT;biographie;;
"Schweitz (daniel), 2010,  ""Une bibliographie tourangelle : Pierre Leveel (1948-2010)"", in [Collectif], Mélanges offerts à Pierre Leveel, MSAT, LVII, 2010, p. 11-16BBH3277/119";BBH 3277/119;;2010;don Schweitz ;Touraine SAT;biographie;;
Payon (André), Eglise Notre-Dame-la-Riche, Chambray-lès-Tours, CLD, 1986, n. p. BBH 3276/119;BBH 3276/119;;2010;don Aurousseau;Tours;église NDR;;
[Collectif], Société d'agriculture, sciences, arts et belles-lettres du département d'Indre-et-Loire. Règlement intérieur spécial à la section d'apiculture, Tours, impr. Deslis, 1905, 8 p. BBH 3275/119;BBH 3275/119;;2010;transfert;Touraine;apiculture;;
Bourel de la Roncière (Charles), Vie de Bouchard le Vénérable, comte de Vendôme, de Corbeil, de Melun et de Paris (Xe et XIe siècle) par Eudes de Saint maur, Paris, Picard, 1892, 43 p. BBH 3274/119;BBH 3274/119;;2010;achat 11.10.;Vendômois;comtes;;
[Anonyme], Notice des tableaux du musée de la ville de Tours, Tours, impr. Ladevèze, 1868, 159 p. BBH 3273/119;BBH 3273/119;;2010;achat 11.10.;Tours;musée;;
Deceneux (Marc), Eglises et cathédrales, toutes les clés, Rennes, Ed. Ouest-France, 1998, 31 p. BBH 3272/119;BBH 3272/119;;2010;achat 11.10.;architecture;religieuse;;
Perdon (Robert), L’historique des assurances sociales en France, Paris, libr. Gaston Soufflard, 1927, 34 p. BBH 3271/119;BBH 3271/119;;2010;achat 11.10.;histoire;sociale;;
Beautier (Robert) et al., « Le recrutement des sociétés savantes », Actes du deuxième colloque des présidents de sociétés savantes, tenu à Nice le 13 avril 1965, Paris, Imprimerie nationale, 1966, p. 7-73 BBH 3270/119;BBH 3270/119;;2010;achat 11.10.;sociétés savantes;histoire;;
[Collectif], Confédération générale du travail. L’action confédérale et la grève des cheminots, paris, Ed. de la CGT, 1920, 40 p. BBH 3269/119;BBH 3269/119;;2010;achat 11.10.;Touraine;chemin de fer;;
Lainé (Martine), Davy (Christian), Saint-Nicolas de Tavant, Orléans,  AREP-Centre éditions, 2002, 55 p. BBH 3268/119;BBH 3268/119;;2010;achat 11.10;Touraine;peintures Tavant;;
Caumont (Arcisse de), [prospectus du] Cours d'antiquités monumentales professé à Caen, Rouen, libr. Edouard Frère, 1830, 8 p., photocopie, BBH 3267/119;BBH 3267/119;;2010;don Schweitz ;archéologie;histoire;;
"[Anonyme], ""Pierre Robert, nécrologie"", Saint-Paterne Racan, Informations municipales, 44, décembre 2009,  p. 27 BBH 3266/119";BBH 3266/119;;2010;transfert;Touraine SAT;biographie;;
"Romains (Jules), ""Discours de Jules Romains le 14 septembre 1963 lors de sa réception à la mairie comme citoyen d'Honneur de Saint-Avertin"", Saint-Avertin Informations municipales, 6, novembre 1972,  p. 1-8-9-14 BBH 3265/119";BBH 3265/119;;2010;transfert;Touraine;littérature Romains;;
Boivin (Dr J.), Réception de Monsieur Jules Romains de l'Académie française à la mairie de Saint-Avertin, le 14 septembre 1963, 1963, p. 3-5, BBH 3264/119;BBH 3264/119;;2010;transfert;Touraine;littérature Romains;;
"Sadoux (Chanoine), ""La Basilique ou le Chalet ? (cadre historique de Mademoiselle Cloque)"", 13, novembre 1978, p. 10-45 BBH 3263/119 ";BBH 3263/119;;2010;transfert;Saint-Martin;basiliique;;
"[Anonyme], ""Cérémonie du souvenir pour les victimes des bombardements de 1944"", La Riche, Informations municipales, 67, décembre 1979,  p. 6 BBH 3262/119 ";BBH 3262/119;;2010;transfert;Touraine;bombardement 1944;;
"Berbier (M. et Mme), ""Regards sur le passé de Bléré. Les Lubites"", Bléré. Informations municipales, 22,  p 9-13 BBH 3261/119";BBH 3261/119;;2010;transfert;Touraine;architecture rurale;;
"Berbier (M. et Mme), ""Bléré : Les Inondations"", Bléré. Informations municipales, 21, décembre 1977,  p. 21-25 BBH 3260/119";BBH 3260/119;;2010;transfert;Touraine;inondations Cher;;
"Berbier (M. et Mme), ""Le passé de Bléré, L'eau au cours des Ages"", Bléré. Informations municipales, 24, décembre 1980,  p. 26-31 BBH 32529/119";BBH 3259/119;;2010;transfert;Touraine;eau Bléré;;
"Berbier (M. et Mme), ""Les premières écoles de Bléré"", Bléré. Informations municipales, 25, décembre 1981,  p. 25-29 BBH 3258/119";BBH 3258/119;;2010;transfert;Touraine;école Bléré;;
"Berbier (M. et Mme), ""Regards sur le passé de Bléré. L'Eglise"",  Bléré. Informations municipales, 23, décembre 1979,  p. 6-11 BBH 3257/119";BBH 3257/119;;2010;transfert;Touraine;église Bléré;;
"Berdier (M. et A.), ""Regards sur le passé de Bléré. L'Hospice Cantonal"", Bléré. Informations municipales, 19, juin 1976,  p. 11-14 BBH 3256/119";BBH 3256/119;;2010;transfert;Touraine;hôpital Bléré;;
"Milliat (Robert), ""Un centenaire oublié … Dominique Dunois"", Bléré. Informations municipales, décembre 1974,  p. 19-22 BBH 3255/119 ";BBH 3255/119;;2010;transfert;Touraine;littérature Dunois;;
"Berbier (M. et Mme), ""Le fief de Fossembault"", Bléré. Informations municipales, 15, juin 1974,  p. 10-13 BBH 3254/119. ";BBH 3254/119;;2010;transfert;Touraine;Bléré;;
"Berbier (M. et Mme), ""Louis Bory"", Bléré. Informations municipales, 11, juin 1972, p. 28-31 BBH 3253/119";BBH 3253/119;;2010;transfert;Touraine;Bléré;;
"Baglin (Robert), ""La Chapelle de Seigne"", Bléré. Informations municipales, 7, juillet 1969,  p.  9-18 BBH 3252/119 ";BBH 3252/119;;2010;transfert;Touraine;église Bléré;;
"Dubois (Jacques), ""Découverte d'un nouveau tronçon de l'aqueduc gallo-romaine de Fontenay"",  Bléré. Informations municipales, 7, juillet 1969,  p. 26-30 BBH 3251/119";BBH 3251/119;;2010;transfert;Touraine;archéologie GR;;
[Anonyme], Vivre les paysages inscrits au patrimoine mondial de de l'UNESCO. Le Val de Loire […], Tours, mission du Val de Loire, 2009, 23 p. BBH 3250/119;BBH 3250/119;;2010;don auteur;Val de Loire;paysages;;
"Pon-Willemsen (Charlotte), ""L'utilisation des registres du cadastre napoléonien pour la recherche historique, archéologique et l'étude de l'architecture"", Bulletin de la Société des antiquaires de l'Ouest et des musées de Poitiers, 5e série, I, 3e trimestre 1987, p. 209-235. BBH 3249/119";BBH 3249/119;;2010;transfert;méthodologie histoire;cadastre;;
[Collectif], Association amicale des anciens élèves de l'école libre Saint-Grégoire de Tours. Assemblée générale du 31 mai 1885. Compte rendu, Tours impr. A. Mame et fils, 1885, 71 p. BBH 3248/119;BBH 3248/119;;2010;achat 10.10;Tours;éducation;;
"Watkinson (Barbara), ""Terres cuites architectutrales du haut Moyen Âge à Tours (fouilles du château)"", in Recherches sur Tours, 1, 1981, p. 115-129 BBH 3247/119";BBH  3247/119;;2010;transfert;Tours;architecture AM;;
"Randoin (Bernard), ""Essai de classification chronologique de la céramique de Tours du IVe au XIe siècle"", in Recherches sur Tours, 1, 1981, p. 103-114 BBH 3246/119";BBH 3246/119;;2010;transfert;Tours;céramique MA;;
"Motteau (James), ""Gobelets et verres à boire XVe-XVIIe siècle"", in Recherches sur Tours, 1, 1981, p. 85-101 BBH 3245/119";BBH 3245/119;;2010;transfert;Tours;verre MA R;;
"Galinié (Henri), ""La notion de territoire à Tours aux IXe et Xe siècles"", in Recherches sur Tours, 1, 1981, p. 73-84 BBH 3244/119";BBH 3244/119;;2010;transfert;Tours;topographie MA;;
Galinié (Henri), Etudes urbaines 1973-1974, Tours, LAU, s. d. [1977], tapuscrit, n. p. BBH 3243/119;BBH 3243/119;;2010;transfert;Tours;archéologie;;
Molard (J.), La carte de l’État-Major. Guide pour sa lecture, Paris, libr. Plon, s.d. [vers 1895], 63 p. BBH 3242/119;BBH 3242/119;;2010;achat 10.10.;méthodologie histoire;carte EM;;
[Anonyme], Bibliothèque Philippart, Poids et mesures, explication claire et complète du système métrique avec des tableaux pour la conversion des mesures anciennes et nouvelles, Paris, Ed. Philippart, s. d. [vers 1870-1880], 64 p. BBH 3241/119;BBBH 3241/119;;2010;achat 10.10.;méthodologie histoire;mesures anciennes;;
Boucher (Jérôme et Paul), La topographie pour tous. Manuel pratique à l’usage des cyclistes, promeneurs et des candidats au brevet militaire, Paris, Girard, 1921, 87 p. BBH 3240/119;BBH 3240/119;;2010;achat 10.10.;méthodologie histoire;carte EM;;
Ville-d’Avray (capitaine H. de), Signes conventionnels et lecture des cartes françaises et étrangères. France, Allemagne, Italie, Russie, Paris, libr. Le Soudier, 1890, 125 p. BBH 3239/119;BBH 3239/119;;2010;achat 10.10.;méthodologie histoire;carte EM;;
Rabelais (François), Le Sixiesme livre […] figures de Lucien Boucher, Paris, Devambez, 1933, n. p., ill. BBH 3238/119;BBH 3238/119;;2010;achat 10.10.;Rabelais;illustrations;;
Desfontaines (Pierre), Petit guide du voyageur actif. Comment connaître et comprendre un coin de pays, 3e éd., Paris, Les éditions sociales, 1949, 47 p. BBH 3237/118;BBH 3237/118;;2010;achat 10.10.;méthodologie histoire;commune;;
Cressot (J.), Troux (A.), La géographie et l’histoire locales, Guide pour l’étude du milieu, Paris, Bourrelier, 1946, 174 p. BBH 3236/118;BBH 3236/118;;2010;achat 10.10.;méthodologie histoire;commune;;
